大客車禁行路段調查表 103.03.21,,,,,,,,,,,,
項次,縣市別,"鄉鎮
市區",路線路名,路線樁號及起迄地名,管制通行措施,路況概述,提報單位,"公告日期
及文號",,,,
64,新北市,五股區,北56孝義路,0k~3k+470（公車除外）,禁行甲類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
65,新北市,五股區,北57壟鈞路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
66,新北市,五股區,北58外寮路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
67,新北市,泰山區,北76大科路,全線,禁行甲類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
68,新北市,三峽區,北102,全線,禁行甲、乙類大客車(公車除外),,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
69,新北市,新店區,北105,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
70,新北市,烏來區,北107,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
71,新北市,烏來區,北107-1,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
72,新北市,三峽區,北109,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
73,新北市,三峽區,北112,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
74,新北市,林口區,北120,2K~北77-1,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
75,新北市,瑞芳區,北122,"台2丁~瑞基交界
(瑞竹路圓環起至市界線路段)",禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
76,新北市,中和區,玉皇宮（圓通路369巷）,全線,禁行甲類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
77,新北市,石門區,崁子腳路,全線,禁行甲類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
78,新北市,貢寮區,遠望坑街,雙玉里台2丙線~草嶺古道入口處,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
79,新北市,貢寮區,馬崗街,福連里台2線~三貂角燈塔,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
80,新北市,貢寮區,水返港街,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
81,新北市,貢寮區,雞母嶺街,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
82,新北市,貢寮區,土地公嶺街,全線,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
83,新北市,貢寮區,巫里岸街,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
84,新北市,貢寮區,內寮街,0k~8k,禁行甲類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
85,新北市,貢寮區,文秀坑街,全線,禁行甲類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
86,新北市,汐止區,夢湖路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
87,新北市,汐止區,八連路,八連路1段208號至八連路長青路交叉口,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
88,新北市,石碇區,塗潭道路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
89,新北市,石碇區,直潭道路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
90,新北市,平溪區,十分街,68k+130至十分迴車道,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
91,新北市,瑞芳區,山尖路,瓜山國小~石山橋路段,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
92,新北市,瑞芳區,山尖路,全線(除瓜山國小~石山橋路段外),禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
93,新北市,瑞芳區,長仁路,北34線黃金舖~長仁社區,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
94,新北市,瑞芳區,明里路,台2線-威遠廟,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
95,新北市,瑞芳區,大寮路63巷,102線~大寮路63巷2之3號,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
96,新北市,瑞芳區,猴碩公路,猴硐介壽橋~碩仁金宇橋,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
97,新北市,瑞芳區,崙頂路,102線-九份國小,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
98,新北市,瑞芳區,輕便路,102線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
99,新北市,瑞芳區,半嶺路,北37線~大粗坑觀光步道,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
100,新北市,瑞芳區,尪仔上天路,大寮路63巷~尪仔上天路1之1號,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
101,新北市,土城區,大暖路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
102,新北市,土城區,大暖坑路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
103,新北市,土城區,永寧路,永豐路與北二高涵洞起,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
104,新北市,土城區,永和街,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
105,新北市,土城區,青雲路,青雲路與石門路口起,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
106,新北市,土城區,石門路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
107,新北市,土城區,國際路,國際路55號起,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
108,新北市,土城區,永豐路,永豐路與北二高涵洞起,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
109,新北市,樹林區,保安街,保安街2段45巷至大同山,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
110,新北市,三重區,重安街,中正南路至環河南路，忠孝橋往臺北市匝道之南側側車道,103年1月29日起，全日管制15噸以上大貨車及甲類大客車通行,,新北市政府,新北市政府102.12.18北府交安字第10232673041號公告函,,,,
111,新北市,八里區,龍形三街,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
112,新北市,八里區,舊城松仔腳21鄰前道路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
113,新北市,八里區,龍米路二段117巷,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
114,新北市,八里區,龍米路二段159巷,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
115,新北市,八里區,龍米路三段45巷旁道路（至渡船頭往牛寮埔產業道路）,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
116,新北市,八里區,中華路一段309巷、中華路一段77號旁巷口,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
117,新北市,八里區,中華路二段205巷,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
118,新北市,雙溪區,農北雙007,泰和街、雙泰,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
119,新北市,雙溪區,農北雙014,三叉坑,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
120,新北市,三峽區,農北峽001,茅草湖,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
121,新北市,三峽區,農北峽003,建安路－三層坪,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
122,新北市,三峽區,農北峽006,竹崙支線、牛角坑路24巷,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1,
123,新北市,三峽區,農北峽007,內插角路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
124,新北市,三峽區,農北峽008,暗鞍、內插角產業道路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
125,新北市,三峽區,農北峽010,西熊空、竹崙路216巷,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
