大客車禁行路段調查表 103.03.21,,,,,,,,,,,,
項次,縣市別,"鄉鎮
市區",路線路名,路線樁號及起迄地名,管制通行措施,路況概述,提報單位,"公告日期
及文號",,,,
334,桃園縣,龜山鄉,桃6線,"5k+800~11k+200
大竹~大崗",禁行甲類大客車,道路狹窄，6k+500處涵洞淨高不足,桃園縣政府,桃園縣政府96年3月8日府交運字促09600048531號函,,ok,1 ,
335,桃園縣,復興鄉,桃116線,"0k~10k+874
下巴陵~上巴陵","管制期間：即日（100.06.28）起當地觀光旺季期間（1月、2月、5月~9月）每日管制
管制範圍：桃116線（下巴陵-上巴陵）
管制對象：甲類大客車
管制點：巴陵派出所（下山管制點）；拉拉山風景區收費站（上山管制點）
管制內容：
每日開放上山時段 07:00~07:30、09:00~09:30、11:00~11:30、13:00~13:30、15:00~15:30及17:00~17:30
每日開放下山時段 08:00~08:30、10:00~10:30、12:00~12:30、14:00~14:30及16:00~16:30
如發生交通狀況不利於大客車通行之情形，得由警察機關或路權單位機動調整管制措施，不另行公告。","山區道路狹窄，多處急彎及坡度陡
（因應桃園縣政府水蜜桃觀光季交通管制）",桃園縣政府,"桃園縣政府
100年06月28日
府交公字第10002516631號",,ok,1 ,
336,桃園縣,大溪鎮,信義路789巷、永娘農路、娘子坑路,信義路789巷至大溪鎮永福宮(縣界),禁行甲、乙類大客車,部分路寬不足4公尺，且部分坡度大於12%,桃園縣政府大溪鎮公所,桃園縣政府大溪鎮公所102.2.7,,ok,1 ,
337,桃園縣,蘆竹鄉,土地公坑農路,0k(赤塗路)~1k+770,禁行甲、乙類大客車,該路段最窄處約3公尺，會車困難，且多彎道及陡坡,桃園縣蘆竹鄉公所,桃園縣蘆竹鄉公所102.2.6蘆鄉工字第1020005265號公告函,,ok,1 ,
338,桃園縣,復興鄉,三民村2.3鄰道路,0k-1k+200,禁行甲、乙類大客車,5.5m(道路總寬度),"桃園縣原住民管理局
桃園縣政府交通局",桃園縣政府交通局102.3.21桃交字第10200061541號函,,ok,1 ,
339,桃園縣,復興鄉,枕頭山道路,0k-0k+900,禁行甲、乙類大客車,4.2m(道路總寬度),"桃園縣原住民管理局
桃園縣政府交通局",桃園縣政府交通局102.3.21桃交字第10200061541號函,,ok,1 ,
340,桃園縣,復興鄉,庫志道路,0k-1k+750,禁行甲類大客車,4.6m(道路總寬度),"桃園縣原住民管理局
桃園縣政府交通局",桃園縣政府交通局102.3.21桃交字第10200061541號函,,ok,1 ,
341,桃園縣,復興鄉,嘎色鬧道路,0k-3k+150,禁行甲類大客車,3.8m(道路總寬度),"桃園縣原住民管理局
桃園縣政府交通局",桃園縣政府交通局102.3.21桃交字第10200061541號函,,ok,1 ,
342,桃園縣,復興鄉,義興道路,0k-2k+650,禁行甲類大客車,4.2m(道路總寬度),"桃園縣原住民管理局
桃園縣政府交通局",桃園縣政府交通局102.3.21桃交字第10200061541號函,,ok,1 ,
343,桃園縣,復興鄉,義盛村6.7鄰道路,0k-2k+330,禁行甲類大客車,4.9m(道路總寬度),"桃園縣原住民管理局
桃園縣政府交通局",桃園縣政府交通局102.3.21桃交字第10200061541號函,,ok,1 ,
344,桃園縣,復興鄉,雪霧鬧聯外道路,0k-4k,禁行甲類大客車,4.1m(道路總寬度),"桃園縣原住民管理局
桃園縣政府交通局",桃園縣政府交通局102.3.21桃交字第10200061541號函,,ok,1 ,
345,桃園縣,復興鄉,里安道路,0k-1k+100,禁行甲、乙類大客車,3.3m(道路總寬度),"桃園縣原住民管理局
桃園縣政府交通局",桃園縣政府交通局102.3.21桃交字第10200061541號函,,ok,1 ,
346,桃園縣,復興鄉,高義蘭道路,0k-4k+350,禁行甲類大客車,4.6m(道路總寬度),"桃園縣原住民管理局
桃園縣政府交通局",桃園縣政府交通局102.3.21桃交字第10200061541號函,,ok,1 ,
347,桃園縣,復興鄉,下蘇樂道路,0k-1k,禁行甲、乙類大客車,3.3m(道路總寬度),"桃園縣原住民管理局
桃園縣政府交通局",桃園縣政府交通局102.3.21桃交字第10200061541號函,,ok,1 ,
348,桃園縣,復興鄉,卡拉道路,0k-0k+900,禁行甲、乙類大客車,3.3m(道路總寬度),"桃園縣原住民管理局
桃園縣政府交通局",桃園縣政府交通局102.3.21桃交字第10200061541號函,,ok,1 ,
349,桃園縣,,內奎輝道路,0k-1k+400,禁行甲、乙類大客車,,"桃園縣原住民管理局
桃園縣政府交通局",桃園縣政府交通局102.3.21桃交字第10200061541號函,,ok,1 ,
350,桃園縣,復興鄉,爺亨道路,全線,禁行甲類大客車,,桃園縣政府交通局,桃園縣政府交通局102.5.3桃交字第10200097141號函,,ok,1 ,
351,桃園縣,復興鄉,光華道路,全線,禁行甲類大客車,,桃園縣政府交通局,桃園縣政府交通局102.5.3桃交字第10200097141號函,,ok,1 ,
352,桃園縣,復興鄉,上奎輝產業道路,全線,禁行甲類大客車,,桃園縣政府交通局,桃園縣政府交通局102.5.3桃交字第10200097141號函,,ok,1 ,
353,新竹縣,湖口鄉,竹12線,"6k+400~7k+600
羊喜窩路~南窩",禁行甲、乙類大客車,多處路寬<5公尺,新竹縣政府,新竹縣政府102.5.27府交通字第1020067531號公告函,,ok,1 ,
354,新竹縣,"峨嵋鄉
北埔鄉",竹38線,竹83~竹43-1,禁行甲、乙類大客車,多處路寬<5公尺,新竹縣政府,新竹縣政府102.8.20府交通字第1020119248號公告函,,,,
355,新竹縣,北埔鄉,竹39線,0k~9k,禁行甲、乙類大客車,路寬3-4公尺,新竹縣政府,新竹縣政府102.2.5府交通字第1020016474號公告函,,ok,1 ,
356,新竹縣,峨嵋鄉,竹49線,竹41~竹81,禁行甲類大客車,多處路寬<5公尺,新竹縣政府,新竹縣政府102.8.20府交通字第1020119248號公告函,,,,
357,新竹縣,尖石鄉,竹60線,7k+500~39k+500,禁行甲類大客車,路寬3-7.5公尺,新竹縣政府,新竹縣政府102.2.5府交通字第1020016474號公告函,,ok,1 ,
358,新竹縣,尖石鄉,竹60-1線,全線,禁行甲類大客車,多處路寬<6.5公尺,新竹縣政府,新竹縣政府102.7.5府交通字第1020087370號公告函,,,,
359,新竹縣,五峰鄉,竹62線,"3k+710~9k
花園-天湖",禁行甲類大客車,多處路寬<6.5公尺,新竹縣政府,新竹縣政府102.2.5府交通字第1020016474號公告函,,ok,1 ,
360,新竹縣,五峰鄉,茅圃道路,全線,禁行甲、乙類大客車,多處路寬<5公尺,新竹縣政府,新竹縣政府102.7.5府交通字第1020087370號公告函,,,,
361,新竹縣,竹東鎮,東河產業道路,南清公路~五指山路,禁行甲、乙類大客車,多處路寬僅2公尺,新竹縣政府,新竹縣政府102.2.5府交通字第1020016474號公告函,,ok,1 ,
362,新竹縣,尖石鄉,司馬庫斯,"0k~16k
泰崗岔路口~司馬庫斯部落","1.禁止四輪以上車輛通行
（1）單向禁止通行時段
泰崗岔路口禁止上司馬庫斯部落時間：12:40~14:59
司馬庫斯部落禁止下泰崗岔路口時間：14:00~16:20
（2）其餘時段可雙向通行
（3）泰崗部落車輛禁行時段憑通行證，得進出司馬庫斯產業道路0k~4k
2.禁行甲、乙類大客車
特定時段開放乙類大客車通行如下
泰崗岔路口開放時段：15:00~15:20
司馬庫斯部落開放時段：13:40~14:00
開放通行時段於司馬庫斯產業道路0k~4k通行請特別注意會車安全","路寬2-3公尺
不利會車",新竹縣政府,新竹縣政府102.7.5府交通字第1020087370號公告函,,ok,1 ,
363,新竹縣,橫山鄉,中正路,與光復路交界處至與中山街交界處,禁行甲類大客車,多處路寬<6.5公尺,新竹縣政府,新竹縣政府102.5.27府交通字第1020067531號公告函,,ok,1 ,
364,新竹縣,橫山鄉,光復路,全線,禁行甲類大客車,多處路寬<6.5公尺,新竹縣政府,新竹縣政府102.5.27府交通字第1020067531號公告函,,ok,1 ,
365,新竹市,東區,高峰路,自食品路至新竹縣寶山鄉交界止,禁行甲、乙類大客車,道路寬度狹窄，且位於山區與市區道路交接之道路。,新竹市政府交通處,92年公告,,ok,1 ,
366,新竹市,東區,大學路,自交通大學大門口至大學路路底止,局部路段管制性(上午7時至9時，下午5時至晚上8時)禁止甲乙大客車進入。,位於市區道路，道路寬度狹窄不利轉彎。,新竹市政府交通處,92年公告,,ok,1 ,
367,苗栗縣,"南庄鄉
獅潭鄉",124線,43k~45k+700,車齡逾12年大客車禁行路段,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
368,苗栗縣,"三義鄉
大湖鄉",130線,27k～30k+350,車齡逾12年大客車禁行路段,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
369,苗栗縣,頭份鎮,苗2線,"7K+325～12K+348
台1線～苗2-3線",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
370,苗栗縣,頭屋鄉,苗16線,3k+520~7k+023,禁行甲類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
371,苗栗縣,公館鄉,苗24-1線,"0K~3K+608
行修寺-北寮",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
372,苗栗縣,"公館鄉
獅潭鄉",苗24-2線,"0K~4K+710
協雲宮~新豐",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
373,苗栗縣,西湖鄉,苗34-2線,0k~6k+844,禁行甲類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
374,苗栗縣,銅鑼鄉,苗38-1,中正路～台13線（樟樹村平交道）,禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
375,苗栗縣,三義鄉,苗51線,"2K+112~7K+140
八櫃(西湖村)~聖王崎下(鯉魚潭村)",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
376,苗栗縣,三義鄉,苗52-3線,"0K~8K
三櫃(鯉魚潭村)~新開村(大湖)",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
377,苗栗縣,大湖鄉,苗55-2線,"0K-3K+713
栗林村-武榮村",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.03.14府工道字第1020050493B號公告函,,ok,1 ,
378,苗栗縣,大湖鄉,苗56線,"3K+600~7K+286
關刀山-大湖",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
379,苗栗縣,"大湖鄉
銅鑼鄉",苗60線,"0K~8K+646
台三線~老雞隆",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
380,苗栗縣,大湖鄉,苗60-1線,"0K~5K
南湖派出所~苗60線",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
381,苗栗縣,大湖鄉,苗61線,"8K~16K+700
中興檢查哨~梅園",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.03.14府工道字第1020050493B號公告函,,ok,1 ,
382,苗栗縣,泰安鄉,苗62-1線,0K~8K+100清安,禁行甲類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
383,苗栗縣,獅潭鄉,苗64線,"1K~4K+624
玉虛宮~八卦力",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
384,苗栗縣,南庄鄉、獅潭鄉,苗64-1線,"0K~2K+500
鹽水坑~八卦力",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
385,苗栗縣,獅潭鄉,苗65線,"0K~3K+750
和興二橋~苗農實習農場",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
386,苗栗縣,頭屋鄉,飛鳳道,飛鳳橋至石觀音寺,禁行甲類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
387,苗栗縣,大湖鄉,馬拉邦山產業道路,苗55-1線尾端至馬拉邦山,禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.03.14府工道字第1020050493B號公告函,,ok,1 ,
388,苗栗縣,泰安鄉,梅象聯絡道,"0K~4K+600
梅園~象鼻",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
389,苗栗縣,泰安鄉,梅興聯絡道,"0K~3K+100
梅園~中興",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
390,苗栗縣,泰安鄉,錦卦聯絡道,"0K~4K+100
錦水~八卦",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
391,苗栗縣,泰安鄉,錦安聯絡道,"0k~1k+700
錦水~清安",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.03.14府工道字第1020050493B號公告函,,ok,1 ,
392,苗栗縣,泰安鄉,士象聯絡道,"0K~4K+600
士林~象鼻",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
393,苗栗縣,泰安鄉,大安聯絡道,"0K~7K+200
大安",禁行甲類大客車,,苗栗縣政府,苗栗縣政府102.03.14府工道字第1020050493B號公告函,,ok,1 ,
394,苗栗縣,泰安鄉,中象聯絡道,"0K~10K+100
中興~象鼻",禁行甲類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
395,苗栗縣,泰安鄉,南清聯絡道,"0K~3K+800
大興~清安",禁行甲、乙類大客車,,苗栗縣政府,苗栗縣政府102.02.01府工道字第1020024815B號公告函,,ok,1 ,
396,南投縣,"水里鄉
鹿谷鄉",131線,33k+474~49k+474,禁行甲類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
397,南投縣,國姓鄉,133線,2k+710~4k+300,禁行甲類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
398,南投縣,國姓鄉,136線,48k+500~56k+807,禁行甲類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
399,南投縣,南投市,139線,35k+800~36k+500,禁行甲類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
400,南投縣,名間鄉,139乙線,5k+730~5k+850,禁行甲類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
401,南投縣,"國姓鄉
水里鄉",147線,0k~14k+300,禁行甲類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
402,南投縣,竹山鎮,149線,18k~19k,禁行甲類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
403,南投縣,竹山鎮,149乙線,1k+600~4k+001,禁行甲類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
404,南投縣,"名間鄉
集集鎮",152線,54k+500~55k+700,禁行甲類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
405,南投縣,竹山鎮,158甲線,48k+500~52k+700,禁行甲類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
406,南投縣,南投市,投16線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
407,南投縣,南投市,投18線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
408,南投縣,南投市,投22-1線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
409,南投縣,,投56線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
410,南投縣,信義鄉,投59線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
411,南投縣,水里鄉,投61線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
412,南投縣,水里鄉,投61-1線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
413,南投縣,"魚池鄉
信義鄉",投63線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
414,南投縣,"國姓鄉
埔里鎮",投68線,0k-8k+300,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
415,南投縣,魚池鄉,投69線,16k+500-18k+500,禁行甲、乙類大客車及15噸以上車輛,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
416,南投縣,"仁愛鄉
埔里鎮",投71線,,禁行甲、乙類大客車,,,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
417,南投縣,國姓鄉,投82線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
418,南投縣,仁愛鄉,投83線,,禁行甲類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
419,南投縣,仁愛鄉,投85線,全線,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
420,南投縣,南投市,投86線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
421,南投縣,南投市,投88線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
422,南投縣,仁愛鄉,投89線,全線,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
423,南投縣,南投市,投90線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
424,南投縣,國姓鄉,投97線,,禁行甲、乙類大客車,,南投縣政府,南投縣政府102.02.07府工土字第10200260141號公告函,,ok,1 ,
425,臺中市,潭子區,中86-1,湳底巷,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
426,臺中市,大肚區,瑞井里瑞井路,全線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
427,臺中市,大肚區,華南路,,禁行甲類大客車,,臺中市政府,臺中市政府102年11月8日府授交行字第1020222036號,,,,
428,臺中市,神岡區,大富路,全線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
429,臺中市,潭子區,豐興路二段,龍興巷,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
430,臺中市,潭子區,潭興路一段,17巷,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
431,臺中市,太平區,大興里部子坑路,大興路~頭汴里界及各支線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
432,臺中市,太平區,頭汴里中坑巷,全線及支線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
433,臺中市,太平區,南國巷,泡仔林橋後端,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
434,臺中市,霧峰區,萬豐里萬斗六農路,全線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
435,臺中市,霧峰區,萬豐里柚子坑農路,全線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
436,臺中市,霧峰區,萬豐里竹篙坑農路,全線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
437,臺中市,霧峰區,桐林里北坑產業道路,全線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
438,臺中市,霧峰區,桐林里中坑產業道路,全線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
439,臺中市,霧峰區,桐林里南坑產業道路,全線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
440,臺中市,霧峰區,坑口里暗坑產業道路,全線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
441,臺中市,霧峰區,峰谷里東坪溜農路,全線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
442,臺中市,龍井區,南崗路,竹師路2段至南新路,禁行甲類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
443,臺中市,和平區,原和-001,舊佳陽部落聯絡道路,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
444,臺中市,和平區,原和-002,新佳陽部落聯絡道路,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
445,臺中市,和平區,原和-003,齡恩道路上線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
446,臺中市,和平區,原和-004,齡恩道路下線,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
447,臺中市,和平區,原和-005,松茂部落聯絡道路松東巷ㄧ,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
448,臺中市,和平區,原和-006,松茂部落聯絡道路松東巷二,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
449,臺中市,和平區,原和-008,上谷關聯絡道路,禁行甲類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
450,臺中市,和平區,原和-009,十文溪聯絡道路,禁行甲類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
451,臺中市,和平區,原和-012,三叉坑聯絡道路,禁行甲類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
452,臺中市,和平區,原和-013,烏石坑聯絡道路,禁行甲類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
453,臺中市,和平區,原和-014,雪山坑聯絡道路,禁行甲類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
454,臺中市,和平區,原和-015,崑崙聯絡道路,禁行甲類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
455,臺中市,和平區,原和-016,打鐵坑聯絡道路,禁行甲、乙類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
456,臺中市,和平區,原和-017,技藝聯絡道路,禁行甲類大客車,,臺中市政府,臺中市政府102年2月6日府授交行字第1020026268號,,ok,1 ,
457,彰化縣,溪州鄉,145線,6k+850~9k+050,禁行甲類大客車,路寬<6.5公尺,彰化縣政府,彰化縣政府102.2.23府工管字第1020047423A號公告函,,ok,1 ,
458,彰化縣,溪州鄉,152線,23k+700~28k+500,禁行甲、乙類大客車,多處路寬<5.5公尺,彰化縣政府,彰化縣政府102.2.23府工管字第1020047423A號公告函,,ok,1 ,
459,彰化縣,溪州鄉,152線,31k+150~31k+850,禁行甲、乙類大客車,多處路寬<5.5公尺,彰化縣政府,彰化縣政府102.2.23府工管字第1020047423A號公告函,,ok,1 ,
460,彰化縣,二水鄉,152線,34k+500~35k+900,禁行甲、乙類大客車,多處路寬<5.5公尺,彰化縣政府,彰化縣政府102.2.23府工管字第1020047423A號公告函,,ok,1 ,
461,彰化縣,二水鄉,152線,35k+920~36k+300,禁行甲、乙類大客車,多處路寬<5.5公尺,彰化縣政府,彰化縣政府102.2.23府工管字第1020047423A號公告函,,ok,1 ,
462,雲林縣,古坑鄉,149甲線,"15k~18k
清水橋路段",禁止車輛通行,,"本局第五區養護工程處
雲林縣政府",公告時間不可考,,,,
463,雲林縣,古坑鄉,雲199線,3K+462~4K+398,禁行大客車,路寬4.1m山區道路狹窄、多彎,雲林縣政府,雲林縣政府102.1.30府工運字第1026401824B號公告函,,ok,1 ,
464,雲林縣,古坑鄉,雲205線,"0K~0K+927
新興~縣界",禁行大客車,路寬4.5m道路急彎、陡坡,雲林縣政府,雲林縣政府102.1.30府工運字第1026401824B號公告函,,ok,1 ,
465,雲林縣,古坑鄉,雲208線,"1K+590~4K+812 
枋寮~大湖底",禁行大客車,路寬3.7m無會車空間、停車視距不佳、天候因素(濃霧),雲林縣政府,雲林縣政府102.1.30府工運字第1026401824B號公告函,,ok,1 ,
466,雲林縣,古坑鄉,雲209線,"2K+279~3K+044 
大坪頂~山腳",禁行大客車,路寬3.5m無會車空間、停車視距不佳、天候因素(濃霧),雲林縣政府,雲林縣政府102.1.30府工運字第1026401824B號公告函,,ok,1 ,
467,雲林縣,古坑鄉,雲210線,"3K+181~3K+601
永光~大湖底",禁行大客車,路寬5.5m無會車空間、停車視距不佳單行道,雲林縣政府,雲林縣政府102.1.30府工運字第1026401824B號公告函,,ok,1 ,
468,雲林縣,古坑鄉,雲210-1線,"0K~0K+197
華山~大崎橋",禁行大客車,路寬5.5m無會車空間、停車視距不佳,雲林縣政府,雲林縣政府102.1.30府工運字第1026401824B號公告函,,ok,1 ,
469,雲林縣,古坑鄉,雲212線,7K+300~10K+475(永光~龍眼林旁),禁行大客車,天候因素(濃霧),雲林縣政府,雲林縣政府102.1.30府工運字第1026401824B號公告函,,ok,1 ,
470,雲林縣,林內鄉,產業道路,雲61線交界向內之產業道路,禁行大客車,路寬約3m<5.5m無會車空間,雲林縣政府,雲林縣政府102.1.30府工運字第1026401824B號公告函,,ok,1 ,
471,雲林縣,林內鄉,東興路(產業道路),雲60線交界向內之產業道路,禁行大客車,路寬約3m<5.5m無會車空間,雲林縣政府,雲林縣政府102.1.30府工運字第1026401824B號公告函,,ok,1 ,
472,雲林縣,林內鄉,產業道路,雲218線交界向內之產業道路,禁行甲、乙類大客車,路寬約5m<5.5m無會車空間,雲林縣政府,雲林縣政府102.1.30府工運字第1026401824B號公告函,,ok,1 ,
473,嘉義縣,梅山鄉,149甲線,"42k+300~54k（終點）
全仔社橋~169線6k處",禁行大客車及21噸以上重車,莫拉克颱風災區災害道路,"本局第五區養護工程處
嘉義縣政府",嘉義縣政府98年11月3日府交管字第0980006058號函,,ok,1 ,
474,嘉義縣,番路鄉,159甲線,"18k~20k+600
半天岩~嘉124線終點",禁行甲、乙類大客車,路寬不足及多處彎道會車不易,"本局第五區養護工程處
嘉義縣政府",嘉義縣政府102.2.4府建道管字第10200254481號公告函,,ok,1 ,
475,嘉義縣,番路鄉,159甲線,"20k+600~26k+700
嘉124線終點~大湖",禁行甲類大客車,路寬不足及多處彎道會車不易,"本局第五區養護工程處
嘉義縣政府",嘉義縣政府102.2.4府建道管字第10200254481號公告函,,ok,1 ,
