鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
信義區,房地(土地+建物),臺北市信義區基隆路一段1~30號,6.53,商,,,10212,土地5建物1車位0,八層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021107,60.9,1,1,1,有,有,16500000,270936,,0.0,0
信義區,房地(土地+建物),臺北市信義區基隆路一段1~30號,8.91,商,,,10210,土地5建物1車位0,三層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021107,83.28,2,1,1,有,有,25110000,301513,,0.0,0
信義區,房地(土地+建物)+車位,臺北市信義區基隆路一段1~30號,11.19,商,,,10212,土地5建物1車位1,二層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021107,124.62,2,1,1,有,有,38110000,340282,坡道平面,21.0,2850000
北投區,房地(土地+建物),臺北市北投區行義路158巷1~30號,17.3,住,,,10212,土地2建物1車位0,一層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700921,102.43,3,2,2,有,有,11800000,115201,,0.0,0
北投區,房地(土地+建物)+車位,臺北市北投區民族街1~30號,44.2,住,,,10301,土地1建物1車位1,六層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961121,161.98,4,2,2,有,有,28160000,173849,塔式車位,4.44,0
北投區,房地(土地+建物)+車位,臺北市北投區裕民二路61~90號,9.35,商,,,10212,土地1建物1車位1,十三層,019,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,146.09,2,2,1,有,有,28260000,193442,坡道平面,45.98,0
北投區,房地(土地+建物)+車位,臺北市北投區裕民二路61~90號,9.6,商,,,10212,土地1建物1車位1,十三層,019,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,144.32999999999998,2,2,1,有,有,24290000,168295,坡道平面,39.61,0
北投區,房地(土地+建物),臺北市北投區裕民二路61~90號,9.09,商,,,10212,土地1建物1車位0,十三層,019,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,108.93,2,2,1,有,有,22400000,205637,,0.0,0
北投區,房地(土地+建物),臺北市北投區裕民二路61~90號,8.35,商,,,10212,土地1建物1車位0,十九層,019,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,100.11,2,2,1,有,有,22500000,224753,,0.0,0
北投區,房地(土地+建物)+車位,臺北市北投區裕民二路61~90號,9.35,商,,,10212,土地1建物1車位1,十九層,019,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,146.10000000000002,2,2,1,有,有,24950000,170773,坡道平面,45.98,0
北投區,房地(土地+建物)+車位,臺北市北投區裕民二路61~90號,15.88,商,,,10212,土地1建物1車位2,三層,019,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,253.58,3,2,2,有,有,39680000,156479,坡道平面,85.59,0
北投區,房地(土地+建物),臺北市北投區裕民二路61~90號,8.15,商,,,10212,土地1建物1車位0,十四層,019,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,97.53,2,2,1,有,有,19470000,199631,,0.0,0
北投區,房地(土地+建物)+車位,臺北市北投區裕民二路61~90號,9.2,商,,,10212,土地1建物1車位1,十層,019,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,139.72,2,2,1,有,有,23240000,166333,坡道平面,39.61,0
北投區,房地(土地+建物)+車位,臺北市北投區裕民二路61~90號,15.02,商,,,10212,土地1建物1車位1,十層,019,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,213.97,3,2,2,有,有,37720000,176286,坡道平面,45.98,0
北投區,房地(土地+建物),臺北市北投區裕民二路61~90號,10.68,商,,,10212,土地1建物1車位0,十層,019,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,127.94999999999999,2,2,2,有,有,25150000,196561,,0.0,0
北投區,房地(土地+建物),臺北市北投區公館路301~330號,82.0,住,,,10212,土地1建物1車位0,全,005,透天厝,住家用,鋼筋混凝土造,0820108,69.62,2,1,1,有,無,11000000,158001,,0.0,0
北投區,房地(土地+建物),臺北市北投區大業路280巷21弄1~30號,36.5,住,,,10301,土地1建物1車位0,四層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660408,84.3,4,1,2,有,無,11600000,137604,,0.0,0
北投區,房地(土地+建物),臺北市北投區立德路120巷1~30號,135.97,其他,,,10212,土地1建物1車位0,二層,004,廠辦,工業用,鋼筋混凝土造,0771021,392.89,0,0,0,無,無,29000000,73812,,0.0,0
北投區,房地(土地+建物),臺北市北投區中央北路三段211~240號,37.82,住,,,10212,土地1建物1車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701231,124.2,3,2,2,有,無,8200000,66023,,0.0,0
北投區,房地(土地+建物)+車位,臺北市北投區石牌路二段348巷1~30號,44.76,住,,,10302,土地1建物1車位1,七層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830809,240.88,4,2,4,有,有,38600000,160246,坡道平面,0.0,0
北投區,房地(土地+建物),臺北市北投區清江路181~210號,29.43,住,,,10301,土地1建物1車位0,四層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660214,75.22,2,1,1,有,無,10500000,139591,,0.0,0
北投區,房地(土地+建物),臺北市北投區大度路三段301巷1~30號,19.26,住,,,10301,土地1建物1車位0,七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961130,73.95,2,1,1,有,無,11580000,156592,,0.0,0
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段203巷1~30號,23.64,住,,,10212,土地2建物1車位1,六層，七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950420,95.12,3,1,2,有,無,7800000,82010,一樓平面,0.0,0
大安區,土地,通化段六小段361~390地號,31.6,其他,,,10302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2637300,83459,,0.0,0
大安區,土地,龍泉段一小段1021~1050地號,4.33,其他,,,10301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,312620,72199,,0.0,0
